indig,age,t_ed,income,quickstats_code,CED_NAME_2021,STATE_NAME_2021,State_acronym,dem_rating,FullName,Party,DivisionID,Australian Labor Party Percentage,Coalition point lead
1.0,39.0,30.2,782.0,101,Banks,New South Wales,NSW,Inner Metropolitan,Hon David Coleman MP,Liberal Party of Australia,103,46.8,3.200000000000003
0.7,36.0,34.4,813.0,102,Barton,New South Wales,NSW,Inner Metropolitan,Hon Linda Burney MP,Australian Labor Party,104,65.54,-15.540000000000006
0.5,37.0,46.9,942.0,103,Bennelong,New South Wales,NSW,Inner Metropolitan,Mr Jerome Laxale MP,Australian Labor Party,105,50.98,-0.9799999999999969
0.7,43.0,40.9,960.0,104,Berowra,New South Wales,NSW,Outer Metropolitan,Mr Julian Leeser MP,Liberal Party of Australia,106,40.23,9.770000000000003
0.6,33.0,20.4,556.0,105,Blaxland,New South Wales,NSW,Inner Metropolitan,Hon Jason Clare MP,Australian Labor Party,107,64.94,-14.939999999999998
0.3,41.0,52.7,1062.0,106,Bradfield,New South Wales,NSW,Inner Metropolitan,Hon Paul Fletcher MP,Liberal Party of Australia,108,43.45,6.549999999999997
7.8,40.0,16.8,757.0,107,Calare,New South Wales,NSW,Rural,Hon Andrew Gee MP,Independent,109,34.55,15.450000000000003
4.2,34.0,24.7,749.0,108,Chifley,New South Wales,NSW,Outer Metropolitan,Hon Ed Husic MP,Australian Labor Party,111,63.47,-13.469999999999999
1.3,42.0,28.0,991.0,109,Cook,New South Wales,NSW,Inner Metropolitan,Hon Scott Morrison MP,Liberal Party of Australia,112,37.56,12.439999999999998
7.2,47.0,16.6,629.0,110,Cowper,New South Wales,NSW,Provincial,Mr Pat Conaghan MP,The Nationals,113,40.53,9.469999999999999
2.7,39.0,28.2,780.0,111,Cunningham,New South Wales,NSW,Provincial,Ms Alison Byrnes MP,Australian Labor Party,114,64.7,-14.700000000000003
5.8,41.0,15.2,718.0,112,Dobell,New South Wales,NSW,Provincial,Hon Emma McBride MP,Australian Labor Party,115,56.52,-6.520000000000003
3.9,43.0,22.6,873.0,113,Eden-Monaro,New South Wales,NSW,Rural,Hon Kristy McBain MP,Australian Labor Party,117,58.2,-8.200000000000003
4.9,42.0,14.2,744.0,114,Farrer,New South Wales,NSW,Rural,Hon Sussan Ley MP,Liberal Party of Australia,118,33.65,16.35
0.9,38.0,15.6,521.0,115,Fowler,New South Wales,NSW,Outer Metropolitan,Ms Dai Le MP,Independent,119,55.72,-5.719999999999999
5.8,49.0,18.0,655.0,116,Gilmore,New South Wales,NSW,Rural,Mrs Fiona Phillips MP,Australian Labor Party,120,50.17,-0.1700000000000017
1.2,38.0,49.3,1254.0,117,Grayndler,New South Wales,NSW,Inner Metropolitan,Hon Anthony Albanese MP,Australian Labor Party,121,78.85,-28.849999999999994
1.6,35.0,35.0,931.0,118,Greenway,New South Wales,NSW,Outer Metropolitan,Hon Michelle Rowland MP,Australian Labor Party,122,61.53,-11.530000000000001
1.5,39.0,28.0,997.0,119,Hughes,New South Wales,NSW,Outer Metropolitan,Ms Jenny Ware MP,Liberal Party of Australia,124,42.99,7.009999999999998
4.2,38.0,16.4,855.0,120,Hume,New South Wales,NSW,Provincial,Hon Angus Taylor MP,Liberal Party of Australia,125,42.28,7.719999999999999
8.0,40.0,13.2,730.0,121,Hunter,New South Wales,NSW,Rural,Mr Dan Repacholi MP,Australian Labor Party,126,54.03,-4.030000000000001
1.9,36.0,40.2,1042.0,122,Kingsford Smith,New South Wales,NSW,Inner Metropolitan,Hon Matt Thistlethwaite MP,Australian Labor Party,127,64.5,-14.5
5.3,35.0,17.7,866.0,123,Lindsay,New South Wales,NSW,Outer Metropolitan,Mrs Melissa McIntosh MP,Liberal Party of Australia,128,43.66,6.340000000000003
6.7,51.0,13.5,600.0,124,Lyne,New South Wales,NSW,Rural,Hon Dr David Gillespie MP,The Nationals,130,36.2,13.799999999999997
3.8,34.0,20.4,806.0,125,Macarthur,New South Wales,NSW,Outer Metropolitan,Dr Mike Freelander MP,Australian Labor Party,131,58.53,-8.530000000000001
0.7,43.0,32.9,1018.0,126,Mackellar,New South Wales,NSW,Outer Metropolitan,Dr Sophie Scamps MP,Independent,132,41.4,8.600000000000001
3.7,42.0,25.0,838.0,127,Macquarie,New South Wales,NSW,Provincial,Ms Susan Templeman MP,Australian Labor Party,133,57.77,-7.770000000000003
1.3,36.0,16.7,602.0,128,McMahon,New South Wales,NSW,Outer Metropolitan,Hon Chris Bowen MP,Australian Labor Party,315,59.49,-9.490000000000002
0.6,38.0,40.8,1026.0,129,Mitchell,New South Wales,NSW,Outer Metropolitan,Hon Alex Hawke MP,Liberal Party of Australia,134,39.31,10.689999999999998
10.3,42.0,15.7,690.0,130,New England,New South Wales,NSW,Rural,Hon Barnaby Joyce MP,The Nationals,135,33.57,16.43
4.2,37.0,29.2,867.0,131,Newcastle,New South Wales,NSW,Provincial,Ms Sharon Claydon MP,Australian Labor Party,136,67.98,-17.980000000000004
0.4,39.0,55.7,1402.0,132,North Sydney,New South Wales,NSW,Inner Metropolitan,Ms Kylea Tink MP,Independent,137,48.74,1.259999999999998
6.6,46.0,15.8,635.0,133,Page,New South Wales,NSW,Rural,Hon Kevin Hogan MP,The Nationals,138,39.26,10.740000000000002
16.4,39.0,13.1,753.0,134,Parkes,New South Wales,NSW,Rural,Hon Mark Coulton MP,The Nationals,139,32.16,17.840000000000003
0.8,34.0,39.9,813.0,135,Parramatta,New South Wales,NSW,Inner Metropolitan,Dr Andrew Charlton MP,Australian Labor Party,140,54.57,-4.57
7.7,40.0,13.2,722.0,136,Paterson,New South Wales,NSW,Provincial,Ms Meryl Swanson MP,Australian Labor Party,249,53.31,-3.3100000000000023
0.6,35.0,43.6,958.0,137,Reid,New South Wales,NSW,Inner Metropolitan,Ms Sally Sitou MP,Australian Labor Party,144,55.19,-5.189999999999998
3.7,46.0,21.6,699.0,138,Richmond,New South Wales,NSW,Rural,Hon Justine Elliot MP,Australian Labor Party,145,58.23,-8.229999999999997
7.5,40.0,14.7,734.0,139,Riverina,New South Wales,NSW,Rural,Hon Michael McCormack MP,The Nationals,250,35.15,14.850000000000001
3.5,44.0,22.4,761.0,140,Robertson,New South Wales,NSW,Provincial,Dr Gordon Reid MP,Australian Labor Party,146,52.26,-2.259999999999998
5.3,43.0,18.5,745.0,141,Shortland,New South Wales,NSW,Provincial,Hon Pat Conroy MP,Australian Labor Party,148,55.82,-5.82
1.5,33.0,52.4,1228.0,142,Sydney,New South Wales,NSW,Inner Metropolitan,Hon Tanya Plibersek MP,Australian Labor Party,149,75.57,-25.569999999999993
0.5,40.0,47.9,1330.0,143,Warringah,New South Wales,NSW,Inner Metropolitan,"Ms Zali Steggall OAM, MP",Independent,151,48.57,1.4299999999999997
0.6,36.0,26.6,626.0,144,Watson,New South Wales,NSW,Inner Metropolitan,Hon Tony Burke MP,Australian Labor Party,251,65.1,-15.099999999999994
0.4,38.0,53.6,1517.0,145,Wentworth,New South Wales,NSW,Inner Metropolitan,Ms Allegra Spender MP,Independent,152,44.08,5.920000000000002
1.8,34.0,20.0,671.0,146,Werriwa,New South Wales,NSW,Outer Metropolitan,Ms Anne Stanley MP,Australian Labor Party,153,55.82,-5.82
4.2,41.0,16.6,730.0,147,Whitlam,New South Wales,NSW,Provincial,Hon Stephen Jones MP,Australian Labor Party,150,60.07,-10.07
0.6,40.0,28.0,797.0,201,Aston,Victoria,Vic,Outer Metropolitan,Ms Mary Doyle MP,Australian Labor Party,197,47.19,2.8100000000000023
1.7,41.0,22.4,734.0,202,Ballarat,Victoria,Vic,Provincial,Hon Catherine King MP,Australian Labor Party,198,62.97,-12.969999999999999
2.0,42.0,21.5,732.0,203,Bendigo,Victoria,Vic,Provincial,Ms Lisa Chesters MP,Australian Labor Party,200,62.11,-12.11
0.6,37.0,21.1,691.0,204,Bruce,Victoria,Vic,Outer Metropolitan,Mr Julian Hill MP,Australian Labor Party,201,56.59,-6.590000000000003
0.7,32.0,20.9,623.0,205,Calwell,Victoria,Vic,Outer Metropolitan,Ms Maria Vamvakinou MP,Australian Labor Party,203,62.39,-12.39
1.1,40.0,21.4,809.0,206,Casey,Victoria,Vic,Rural,Mr Aaron Violi MP,Liberal Party of Australia,204,48.52,1.4799999999999969
0.3,39.0,42.1,734.0,207,Chisholm,Victoria,Vic,Inner Metropolitan,Dr Carina Garland MP,Australian Labor Party,205,56.41,-6.409999999999997
1.0,37.0,40.0,888.0,208,Cooper,Victoria,Vic,Inner Metropolitan,Hon Ged Kearney MP,Australian Labor Party,320,75.46,-25.459999999999994
1.0,40.0,26.2,812.0,209,Corangamite,Victoria,Vic,Provincial,Ms Libby Coker MP,Australian Labor Party,328,57.6,-7.600000000000001
1.5,39.0,24.1,763.0,210,Corio,Victoria,Vic,Provincial,Hon Richard Marles MP,Australian Labor Party,208,62.84,-12.840000000000003
0.5,40.0,33.1,832.0,211,Deakin,Victoria,Vic,Outer Metropolitan,Hon Michael Sukkar MP,Liberal Party of Australia,209,49.81,0.18999999999999773
1.2,40.0,20.5,819.0,212,Dunkley,Victoria,Vic,Outer Metropolitan,Ms Peta Murphy MP,Australian Labor Party,210,56.27,-6.270000000000003
1.1,48.0,20.0,745.0,213,Flinders,Victoria,Vic,Rural,Ms Zoe McKenzie MP,Liberal Party of Australia,211,43.3,6.700000000000003
0.6,36.0,29.2,717.0,214,Fraser,Victoria,Vic,Inner Metropolitan,Dr Daniel Mulino MP,Australian Labor Party,321,66.5,-16.5
0.7,35.0,36.2,936.0,215,Gellibrand,Victoria,Vic,Inner Metropolitan,Hon Tim Watts MP,Australian Labor Party,212,61.54,-11.54
2.5,46.0,13.7,644.0,216,Gippsland,Victoria,Vic,Rural,Hon Darren Chester MP,The Nationals,213,29.43,20.57
0.2,43.0,44.8,1068.0,217,Goldstein,Victoria,Vic,Inner Metropolitan,Ms Zoe Daniel MP,Independent,214,45.2,4.799999999999997
0.6,35.0,23.0,742.0,218,Gorton,Victoria,Vic,Outer Metropolitan,Hon Brendan O'Connor MP,Australian Labor Party,309,59.97,-9.969999999999999
1.5,35.0,17.5,777.0,219,Hawke,Victoria,Vic,Provincial,Mr Sam Rae MP,Australian Labor Party,326,57.63,-7.630000000000003
0.3,37.0,52.4,1218.0,220,Higgins,Victoria,Vic,Inner Metropolitan,Dr Michelle Ananda-Rajah MP,Australian Labor Party,215,52.06,-2.0600000000000023
0.8,33.0,20.2,788.0,221,Holt,Victoria,Vic,Outer Metropolitan,Ms Cassandra Fernando MP,Australian Labor Party,216,57.12,-7.119999999999997
0.3,37.0,30.2,695.0,222,Hotham,Victoria,Vic,Inner Metropolitan,Hon Clare O'Neil MP,Australian Labor Party,217,64.25,-14.25
2.1,45.0,17.1,736.0,223,Indi,Victoria,Vic,Rural,Dr Helen Haines MP,Independent,218,44.74,5.259999999999998
0.5,40.0,30.4,891.0,224,Isaacs,Victoria,Vic,Outer Metropolitan,"Hon Mark Dreyfus KC, MP",Australian Labor Party,219,56.85,-6.850000000000001
0.7,41.0,37.5,929.0,225,Jagajaga,Victoria,Vic,Outer Metropolitan,Ms Kate Thwaites MP,Australian Labor Party,220,62.35,-12.350000000000001
0.3,40.0,52.0,1058.0,226,Kooyong,Victoria,Vic,Inner Metropolitan,Dr Monique Ryan MP,Independent,221,45.82,4.18
0.8,34.0,22.4,852.0,227,La Trobe,Victoria,Vic,Provincial,Hon Jason Wood MP,Liberal Party of Australia,223,41.31,8.689999999999998
1.0,32.0,28.9,801.0,228,Lalor,Victoria,Vic,Outer Metropolitan,Ms Joanne Ryan MP,Australian Labor Party,222,62.82,-12.82
0.4,36.0,50.9,1241.0,229,Macnamara,Victoria,Vic,Inner Metropolitan,Mr Josh Burns MP,Australian Labor Party,322,62.25,-12.25
3.2,45.0,11.9,662.0,230,Mallee,Victoria,Vic,Rural,Dr Anne Webster MP,The Nationals,224,31.01,18.99
0.5,39.0,35.4,931.0,231,Maribyrnong,Victoria,Vic,Inner Metropolitan,Hon Bill Shorten MP,Australian Labor Party,225,62.45,-12.450000000000003
1.2,36.0,23.8,881.0,232,McEwen,Victoria,Vic,Rural,Mr Rob Mitchell MP,Australian Labor Party,226,53.28,-3.280000000000001
0.6,31.0,54.6,1055.0,233,Melbourne,Victoria,Vic,Inner Metropolitan,Mr Adam Bandt MP,Australian Greens,228,77.91,-27.909999999999997
0.3,42.0,38.9,769.0,234,Menzies,Victoria,Vic,Outer Metropolitan,Mr Keith Wolahan MP,Liberal Party of Australia,229,49.32,0.6799999999999997
1.4,46.0,16.1,663.0,235,Monash,Victoria,Vic,Rural,Mr Russell Broadbent MP,Liberal Party of Australia,323,47.1,2.8999999999999986
3.2,43.0,12.9,684.0,236,Nicholls,Victoria,Vic,Rural,Mr Sam Birrell MP,The Nationals,324,32.85,17.15
0.9,36.0,22.9,694.0,237,Scullin,Victoria,Vic,Outer Metropolitan,Hon Andrew Giles MP,Australian Labor Party,232,65.58,-15.579999999999998
1.9,46.0,16.4,717.0,238,Wannon,Victoria,Vic,Rural,Hon Dan Tehan MP,Liberal Party of Australia,233,40.93,9.07
0.6,35.0,40.6,906.0,239,Wills,Victoria,Vic,Inner Metropolitan,Mr Peter Khalil MP,Australian Labor Party,234,75.77,-25.769999999999996
5.6,35.0,14.4,764.0,301,Blair,Queensland,Qld,Provincial,Hon Shayne Neumann MP,Australian Labor Party,304,55.23,-5.229999999999997
2.0,38.0,32.5,907.0,302,Bonner,Queensland,Qld,Outer Metropolitan,Mr Ross Vasta MP,Liberal National Party of Queensland,310,46.59,3.4099999999999966
2.9,43.0,18.4,786.0,303,Bowman,Queensland,Qld,Outer Metropolitan,Mr Henry Pike MP,Liberal National Party of Queensland,155,44.49,5.509999999999998
1.4,34.0,46.3,1140.0,304,Brisbane,Queensland,Qld,Inner Metropolitan,Mr Stephen Bates MP,Australian Greens,156,54.4,-4.399999999999999
6.5,38.0,12.8,830.0,305,Capricornia,Queensland,Qld,Provincial,Hon Michelle Landry MP,Liberal National Party of Queensland,157,43.41,6.590000000000003
6.7,39.0,14.0,841.0,306,Dawson,Queensland,Qld,Rural,Mr Andrew Willcox MP,Liberal National Party of Queensland,158,39.58,10.420000000000002
2.8,38.0,23.6,887.0,307,Dickson,Queensland,Qld,Outer Metropolitan,Hon Peter Dutton MP,Liberal National Party of Queensland,252,48.3,1.7000000000000028
2.4,39.0,19.0,770.0,308,Fadden,Queensland,Qld,Outer Metropolitan,Mr Cameron Caldwell MP,Liberal National Party of Queensland,159,39.37,10.630000000000003
2.4,43.0,22.3,763.0,309,Fairfax,Queensland,Qld,Rural,Mr Ted O'Brien MP,Liberal National Party of Queensland,160,41.05,8.950000000000003
2.5,43.0,20.6,748.0,310,Fisher,Queensland,Qld,Rural,Mr Andrew Wallace MP,Liberal National Party of Queensland,161,41.33,8.670000000000002
6.9,39.0,10.5,733.0,311,Flynn,Queensland,Qld,Rural,Mr Colin Boyce MP,Liberal National Party of Queensland,311,46.18,3.8200000000000003
3.7,35.0,14.5,772.0,312,Forde,Queensland,Qld,Outer Metropolitan,Mr Bert van Manen MP,Liberal National Party of Queensland,162,45.77,4.229999999999997
1.5,34.0,44.2,1102.0,313,Griffith,Queensland,Qld,Inner Metropolitan,Mr Max Chandler-Mather MP,Australian Greens,163,61.07,-11.07
5.0,38.0,19.6,759.0,314,Groom,Queensland,Qld,Provincial,Mr Garth Hamilton MP,Liberal National Party of Queensland,164,35.83,14.170000000000002
9.7,35.0,17.7,849.0,315,Herbert,Queensland,Qld,Provincial,"Mr Phillip Thompson OAM, MP",Liberal National Party of Queensland,165,38.23,11.770000000000003
5.0,49.0,12.3,576.0,316,Hinkler,Queensland,Qld,Provincial,Hon Keith Pitt MP,Liberal National Party of Queensland,166,39.93,10.07
14.8,40.0,11.2,718.0,317,Kennedy,Queensland,Qld,Rural,Hon Bob Katter MP,Katter's Australian Party,167,39.84,10.159999999999997
16.3,39.0,19.0,776.0,318,Leichhardt,Queensland,Qld,Rural,Hon Warren Entsch MP,Liberal National Party of Queensland,168,46.56,3.4399999999999977
2.5,37.0,30.8,936.0,319,Lilley,Queensland,Qld,Inner Metropolitan,Hon Anika Wells MP,Australian Labor Party,169,60.54,-10.54
4.9,39.0,11.8,689.0,320,Longman,Queensland,Qld,Provincial,Mr Terry Young MP,Liberal National Party of Queensland,302,46.92,3.0799999999999983
7.5,43.0,11.2,663.0,321,Maranoa,Queensland,Qld,Rural,Hon David Littleproud MP,Liberal National Party of Queensland,170,27.88,22.12
2.0,40.0,24.0,798.0,322,McPherson,Queensland,Qld,Provincial,Hon Karen Andrews MP,Liberal National Party of Queensland,171,40.66,9.340000000000003
1.9,40.0,23.9,768.0,323,Moncrieff,Queensland,Qld,Provincial,Ms Angie Bell MP,Liberal National Party of Queensland,172,38.81,11.189999999999998
1.6,36.0,38.9,825.0,324,Moreton,Queensland,Qld,Inner Metropolitan,Mr Graham Perrett MP,Australian Labor Party,173,59.09,-9.090000000000003
3.6,34.0,23.5,787.0,325,Oxley,Queensland,Qld,Outer Metropolitan,Hon Milton Dick MP,Australian Labor Party,174,61.59,-11.590000000000003
3.5,39.0,20.2,778.0,326,Petrie,Queensland,Qld,Outer Metropolitan,Hon Luke Howarth MP,Liberal National Party of Queensland,175,45.56,4.439999999999998
3.5,34.0,19.2,710.0,327,Rankin,Queensland,Qld,Outer Metropolitan,Hon Dr Jim Chalmers MP,Australian Labor Party,176,59.09,-9.090000000000003
1.2,36.0,46.5,983.0,328,Ryan,Queensland,Qld,Outer Metropolitan,Ms Elizabeth Watson-Brown MP,Australian Greens,177,52.42,-2.4200000000000017
4.5,49.0,14.5,600.0,329,Wide Bay,Queensland,Qld,Rural,Mr Llew O'Brien MP,Liberal National Party of Queensland,178,38.66,11.340000000000003
3.9,39.0,14.5,752.0,330,Wright,Queensland,Qld,Rural,Hon Scott Buchholz MP,Liberal National Party of Queensland,316,39.11,10.89
1.4,36.0,37.2,810.0,401,Adelaide,South Australia,SA,Inner Metropolitan,Mr Steve Georganas MP,Australian Labor Party,179,61.91,-11.909999999999997
3.0,45.0,11.0,682.0,402,Barker,South Australia,SA,Rural,Mr Tony Pasin MP,Liberal Party of Australia,180,33.38,16.619999999999997
1.0,42.0,34.1,824.0,403,Boothby,South Australia,SA,Outer Metropolitan,Ms Louise Miller-Frost MP,Australian Labor Party,182,53.28,-3.280000000000001
7.4,45.0,10.1,643.0,404,Grey,South Australia,SA,Rural,Mr Rowan Ramsey MP,Liberal Party of Australia,183,39.93,10.07
2.0,42.0,23.8,776.0,405,Hindmarsh,South Australia,SA,Inner Metropolitan,Hon Mark Butler MP,Australian Labor Party,185,58.95,-8.950000000000003
1.9,40.0,16.8,723.0,406,Kingston,South Australia,SA,Outer Metropolitan,Hon Amanda Rishworth MP,Australian Labor Party,186,66.35,-16.349999999999994
1.8,39.0,19.3,722.0,407,Makin,South Australia,SA,Outer Metropolitan,Mr Tony Zappia MP,Australian Labor Party,187,60.8,-10.799999999999997
1.3,46.0,22.7,727.0,408,Mayo,South Australia,SA,Rural,Ms Rebekha Sharkie MP,Centre Alliance,188,51.59,-1.5900000000000034
3.6,35.0,9.5,635.0,409,Spence,South Australia,SA,Outer Metropolitan,Mr Matt Burnell MP,Australian Labor Party,325,62.9,-12.899999999999999
0.8,41.0,38.1,826.0,410,Sturt,South Australia,SA,Inner Metropolitan,Mr James Stevens MP,Liberal Party of Australia,190,49.55,0.45000000000000284
3.1,35.0,13.6,792.0,501,Brand,Western Australia,WA,Outer Metropolitan,Hon Madeleine King MP,Australian Labor Party,235,66.71,-16.709999999999994
3.0,35.0,18.9,747.0,502,Burt,Western Australia,WA,Outer Metropolitan,Hon Matt Keogh MP,Australian Labor Party,317,65.21,-15.209999999999994
2.7,42.0,12.5,694.0,503,Canning,Western Australia,WA,Outer Metropolitan,Hon Andrew Hastie MP,Liberal Party of Australia,236,46.41,3.5900000000000034
2.1,38.0,20.4,724.0,504,Cowan,Western Australia,WA,Inner Metropolitan,Hon Dr Anne Aly MP,Australian Labor Party,237,60.82,-10.82
0.7,39.0,47.9,1115.0,505,Curtin,Western Australia,WA,Inner Metropolitan,Ms Kate Chaney MP,Independent,238,44.4,5.600000000000001
15.2,37.0,12.4,928.0,506,Durack,Western Australia,WA,Rural,Hon Melissa Price MP,Liberal Party of Australia,312,45.73,4.270000000000003
2.7,42.0,16.0,759.0,507,Forrest,Western Australia,WA,Rural,Hon Nola Marino MP,Liberal Party of Australia,239,45.71,4.289999999999999
1.8,38.0,28.8,934.0,508,Fremantle,Western Australia,WA,Inner Metropolitan,Mr Josh Wilson MP,Australian Labor Party,240,66.89,-16.89
3.3,37.0,19.4,867.0,509,Hasluck,Western Australia,WA,Outer Metropolitan,Ms Tania Lawrence MP,Australian Labor Party,305,56.0,-6.0
0.8,42.0,28.3,923.0,510,Moore,Western Australia,WA,Outer Metropolitan,Mr Ian Goodenough MP,Liberal Party of Australia,242,49.34,0.6599999999999966
5.7,42.0,12.6,772.0,511,O'Connor,Western Australia,WA,Rural,Mr Rick Wilson MP,Liberal Party of Australia,243,43.03,6.969999999999999
1.7,35.0,18.0,858.0,512,Pearce,Western Australia,WA,Outer Metropolitan,Ms Tracey Roberts MP,Australian Labor Party,244,59.04,-9.04
1.2,37.0,38.4,1017.0,513,Perth,Western Australia,WA,Inner Metropolitan,Hon Patrick Gorman MP,Australian Labor Party,245,64.8,-14.799999999999997
2.2,36.0,31.4,897.0,514,Swan,Western Australia,WA,Inner Metropolitan,Ms Zaneta Mascarenhas MP,Australian Labor Party,247,58.77,-8.770000000000003
1.1,40.0,36.4,844.0,515,Tangney,Western Australia,WA,Inner Metropolitan,Mr Sam Lim MP,Australian Labor Party,248,52.38,-2.3800000000000026
4.0,41.0,20.1,675.0,601,Bass,Tasmania,Tas,Provincial,Mrs Bridget Archer MP,Liberal Party of Australia,192,48.57,1.4299999999999997
8.5,45.0,12.8,637.0,602,Braddon,Tasmania,Tas,Rural,Mr Gavin Pearce MP,Liberal Party of Australia,193,41.97,8.030000000000001
3.3,37.0,36.7,780.0,603,Clark,Tasmania,Tas,Inner Metropolitan,Mr Andrew Wilkie MP,Independent,319,67.24,-17.239999999999995
5.3,41.0,26.8,775.0,604,Franklin,Tasmania,Tas,Outer Metropolitan,Hon Julie Collins MP,Australian Labor Party,195,63.7,-13.700000000000003
5.9,44.0,12.9,652.0,605,Lyons,Tasmania,Tas,Rural,Mr Brian Mitchell MP,Australian Labor Party,196,50.92,-0.9200000000000017
40.3,32.0,14.4,726.0,701,Lingiari,Northern Territory,NT,Rural,Ms Marion Scrymgour MP,Australian Labor Party,306,50.95,-0.9500000000000028
10.1,34.0,29.0,1110.0,702,Solomon,Northern Territory,NT,Inner Metropolitan,"Mr Luke Gosling OAM, MP",Australian Labor Party,307,59.37,-9.369999999999997
2.5,38.0,35.8,1183.0,801,Bean,Australian Capital Territory,ACT,Inner Metropolitan,Mr David Smith MP,Australian Labor Party,318,62.95,-12.950000000000003
1.4,35.0,52.8,1289.0,802,Canberra,Australian Capital Territory,ACT,Inner Metropolitan,Ms Alicia Payne MP,Australian Labor Party,101,72.46,-22.459999999999994
2.1,34.0,39.7,1145.0,803,Fenner,Australian Capital Territory,ACT,Inner Metropolitan,Hon Dr Andrew Leigh MP,Australian Labor Party,102,65.69,-15.689999999999998
